code,name
SH.600557,康缘药业
SH.600559,老白干酒
SH.600572,康恩贝
SH.600575,淮河能源
SH.600577,精达股份
SH.600587,新华医疗
SH.600596,新安股份
SH.600597,光明乳业
SH.600612,老凤祥
SH.600618,氯碱化工
SH.600619,海立股份
SH.600621,华鑫股份
SH.600623,华谊集团
SH.600629,华建集团
SH.600633,浙数文化
SH.600635,大众公用
SH.600639,浦东金桥
SH.600640,国脉文化
SH.600641,先导基电
SH.600643,爱建集团
SH.600645,中源协和
SH.600649,城投控股
SH.600651,飞乐音响
SH.600654,中安科
SH.600657,信达地产
SH.600662,外服控股
SH.600664,哈药股份
SH.600667,太极实业
SH.600675,中华企业
SH.600682,南京新百
SH.600686,金龙汽车
SH.600710,苏美达
SH.600717,天津港
SH.600718,东软集团
SH.600726,华电能源
SH.600728,佳都科技
SH.600729,重百集团
SH.600739,辽宁成大
SH.600740,山西焦化
SH.600744,华银电力
SH.600746,江苏索普
SH.600750,华润江中
SH.600751,海航科技
SH.600757,长江传媒
SH.600761,安徽合力
SH.600771,广誉远
SH.600773,西藏城投
SH.600776,东方通信
SH.600782,新钢股份
SH.600783,鲁信创投
SH.600787,中储股份
SH.600789,鲁抗医药
SH.600812,华北制药
SH.600821,金开新能
SH.600827,百联股份
SH.600835,上海机电
SH.600850,电科数字
SH.600859,王府井
SH.600864,哈投股份
SH.600866,星湖科技
SH.600867,通化东宝
SH.600869,远东股份
SH.600872,中炬高新
SH.600877,电科芯片
SH.600882,妙可蓝多
SH.600888,新疆众和
SH.600908,无锡银行
SH.600916,中国黄金
SH.600928,西安银行
SH.600929,雪天盐业
SH.600933,爱柯迪
SH.600956,新天绿能
SH.600961,株冶集团
SH.600963,岳阳林纸
SH.600971,恒源煤电
SH.600986,浙文互联
SH.600993,马应龙
SH.600996,贵广网络
SH.600997,开滦股份
SH.601003,柳钢股份
SH.601020,华钰矿业
SH.601022,宁波远洋
SH.601026,道生天合
SH.601033,永兴股份
SH.601038,一拖股份
SH.601068,中铝国际
SH.601069,西部黄金
SH.601083,锦江航运
SH.601089,福元医药
SH.601096,宏盛华源
SH.601101,昊华能源
SH.601107,四川成渝
SH.601126,四方股份
SH.601137,博威合金
SH.601187,厦门银行
SH.601200,上海环境
SH.601208,东材科技
SH.601222,林洋能源
SH.601311,骆驼股份
SH.601326,秦港股份
SH.601333,广深铁路
SH.601369,陕鼓动力
SH.601375,中原证券
SH.601519,大智慧
SH.601528,瑞丰银行
SH.601568,北元化工
SH.601595,上海电影
SH.601606,长城军工
SH.601609,金田股份
SH.601619,嘉泽新能
SH.601636,旗滨集团
SH.601677,明泰铝业
SH.601678,滨化股份
SH.601702,华峰铝业
SH.601777,千里科技
SH.601778,晶科科技
SH.601801,皖新传媒
SH.601858,中国科传
SH.601860,紫金银行
SH.601882,海天精工
SH.601890,亚星锚链
SH.601900,南方传媒
SH.601908,京运通
SH.601918,新集能源
SH.601921,浙版传媒
SH.601949,中国出版
SH.601952,苏垦农发
SH.601963,重庆银行
SH.601965,中国汽研
SH.601969,海南矿业
SH.601975,招商南油
SH.603005,晶方科技
SH.603009,北特科技
SH.603013,亚普股份
SH.603014,威高血净
SH.603025,大豪科技
SH.603026,石大胜华
SH.603027,千禾味业
SH.603033,三维股份
SH.603039,泛微网络
SH.603043,广州酒家
SH.603055,台华新材
SH.603057,紫燕食品
SH.603063,禾望电气
SH.603072,天和磁材
SH.603083,剑桥科技
SH.603093,南华期货
SH.603099,长白山
SH.603100,川仪股份
SH.603103,横店影视
SH.603108,润达医疗
SH.603118,共进股份
SH.603124,江南新材
SH.603127,昭衍新药
SH.603132,金徽股份
SH.603162,海通发展
SH.603166,福达股份
SH.603169,兰石重装
SH.603171,税友股份
SH.603193,润本股份
SH.603194,中力股份
SH.603202,天有为
SH.603218,日月股份
SH.603219,富佳股份
SH.603220,中贝通信
SH.603227,雪峰科技
SH.603236,移远通信
SH.603248,锡华科技
SH.603267,鸿远电子
SH.603279,景津装备
SH.603283,赛腾股份
SH.603297,永新光学
SH.603299,苏盐井神
SH.603300,海南华铁
SH.603301,振德医疗
SH.603305,旭升集团
SH.603306,华懋科技
SH.603317,天味食品
SH.603319,美湖股份
SH.603323,苏农银行
SH.603327,福蓉科技
SH.603328,依顿电子
SH.603337,杰克科技
SH.603355,莱克电气
SH.603358,华达科技
SH.603360,百傲化学
SH.603376,大明电子
SH.603393,新天然气
SH.603395,红四方
SH.603402,陕西旅游
SH.603406,天富龙
SH.603418,友升股份
SH.603456,九洲药业
SH.603477,巨星农牧
SH.603496,恒为科技
SH.603505,金石资源
SH.603508,思维列控
SH.603516,淳中科技
SH.603530,神马电力
SH.603533,掌阅科技
SH.603556,海兴电力
SH.603567,珍宝岛
SH.603583,捷昌驱动
SH.603588,高能环境
SH.603599,广信股份
SH.603612,索通发展
SH.603613,国联股份
SH.603619,中曼石油
SH.603638,艾迪精密
SH.603662,柯力传感
SH.603663,三祥新材
SH.603667,五洲新春
SH.603678,火炬电子
SH.603690,至纯科技
SH.603693,江苏新能
SH.603698,航天工程
SH.603707,健友股份
SH.603713,密尔克卫
SH.603730,岱美股份
SH.603733,仙鹤股份
SH.603809,豪能股份
SH.603826,坤彩科技
SH.603866,桃李面包
SH.603871,嘉友国际
SH.603876,鼎胜新材
SH.603881,数据港
SH.603883,老百姓
SH.603887,城地香江
SH.603888,新华网
SH.603915,国茂股份
SH.603919,金徽酒
SH.603927,中科软
SH.603929,亚翔集成
SH.603950,长源东谷
SH.603983,丸美生物
SH.603992,松霖科技
SH.603997,继峰股份
SH.605011,杭州热电
SH.605020,永和股份
SH.605090,九丰能源
SH.605099,共创草坪
SH.605111,新洁能
SH.605116,奥锐特
SH.605118,力鼎光电
SH.605123,派克新材
SH.605196,华通线缆
SH.605198,安德利
SH.605296,神农集团
SH.605333,沪光股份
SH.605376,博迁新材
SH.605507,国邦医药
SH.605555,德昌股份
SH.605599,菜百股份
SH.688001,华兴源创
SH.688003,天准科技
SH.688005,容百科技
SH.688006,杭可科技
SH.688016,心脉医疗
SH.688025,杰普特
SH.688029,南微医学
SH.688031,星环科技
SH.688032,禾迈股份
SH.688048,长光华芯
SH.688050,爱博医疗
SH.688062,迈威生物
SH.688063,派能科技
SH.688068,热景生物
SH.688083,中望软件
SH.688088,虹软科技
SH.688091,上海谊众
SH.688097,博众精工
SH.688100,威胜信息
SH.688102,斯瑞新材
SH.688106,金宏气体
SH.688107,安路科技
SH.688110,东芯股份
SH.688116,天奈科技
